                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3719,                 1.9352,                  1.916,                 1.3078,                 0.4068,                 0.4257,                0.37746,                0.16268,                0.33868,                0.40562,                0.26073,                0.06282,                 1.8435,                 1.4137,                 2.4941,                 1.7495,             0.00066381,             0.00066381,             0.00066381
                      2,                 1.3653,                 1.6763,                 1.4706,                 1.2963,                0.52197,                 0.5261,                 0.4497,                0.18228,                 0.4313,                0.45992,                0.29606,                0.07291,                 1.8325,                 1.3317,                 2.0669,                 1.6455,              0.0012866,              0.0012866,              0.0012866
                      3,                 1.3471,                 1.6552,                 1.3643,                 1.2925,                0.58733,                0.61161,                0.60563,                0.29667,                0.56111,                0.53815,                0.46811,                0.13843,                 1.6962,                 1.3192,                 1.7244,                 1.5158,              0.0018653,              0.0018653,              0.0018653
                      4,                 1.2895,                 1.6465,                 1.2694,                 1.2605,                 0.6758,                0.57764,                0.60323,                0.30567,                0.55579,                0.45783,                0.39388,                0.11138,                 1.7116,                 1.3593,                 1.6552,                 1.5397,               0.001802,               0.001802,               0.001802
                      5,                 1.2025,                 1.5944,                 1.1841,                 1.2193,                0.58098,                0.62651,                 0.5775,                0.28845,                0.53195,                0.54217,                0.41592,                0.11534,                 1.6207,                 1.2486,                   1.63,                 1.4705,               0.001802,               0.001802,               0.001802
                      6,                 1.1919,                 1.6038,                  1.143,                 1.2076,                0.70379,                0.63052,                0.68557,                0.40155,                0.61825,                 0.5502,                0.51575,                0.16112,                 1.4969,                 1.2286,                 1.4744,                 1.4087,               0.001736,               0.001736,               0.001736
                      7,                 1.1514,                 1.5639,                 1.1089,                 1.2001,                 0.6803,                0.62651,                0.64406,                0.37048,                0.58409,                0.50201,                0.41585,                0.12902,                 1.4038,                 1.2361,                 1.4242,                 1.3216,                0.00167,                0.00167,                0.00167
                      8,                 1.1096,                 1.5723,                 1.0563,                 1.1806,                0.69907,                0.61574,                0.65839,                0.36691,                0.54279,                0.52209,                 0.4762,                0.15248,                 1.4305,                 1.3177,                 1.5151,                 1.3634,               0.001604,               0.001604,               0.001604
                      9,                 1.0742,                 1.5496,                 1.0389,                 1.1595,                0.70575,                0.69076,                0.67359,                0.41414,                0.65894,                 0.5743,                0.48782,                0.16638,                 1.3386,                 1.2477,                 1.3778,                 1.2984,               0.001538,               0.001538,               0.001538
                     10,                 1.0581,                 1.5476,                0.99994,                 1.1522,                0.60506,                0.61044,                0.64627,                0.36392,                 0.5094,                0.51807,                0.49151,                0.15456,                 1.4959,                 1.2382,                 1.3994,                 1.3659,               0.001472,               0.001472,               0.001472
